time_s,frequency_hz,P_load,P_wind,P_net_load,P_set,P_cmd,P_valve,P_mech
17005.0,50.01488615800985,0.508377752707577,0.32342797440177345,0.18494977830580356,0.1776496686617452,0.15898991304531365,0.13627037980123946,0.17698906139788204
17010.0,50.02706388229735,0.49817708748058515,0.32524176953089595,0.1729353179496892,0.1774572734498083,0.1647549132632822,0.16101478306475894,0.17225667087170554
17015.0,49.82738586348619,0.504858589270955,0.32397584722434924,0.1808827420466057,0.1775970686828992,0.24594922453605017,0.22460395076118048,0.1769796851272885
17020.0,50.12879535367999,0.5069321854351302,0.33216555195627107,0.17476663347885912,0.17748155708560492,0.13646401470234085,0.17390726719448155,0.18416792996013537
17025.0,50.25488714921558,0.5054116961741859,0.3370084065286024,0.1684032896455835,0.1771110680628692,0.06639938924333078,0.07627992211580141,0.16780910019324488
17030.0,50.06895234060869,0.5020376467609136,0.3448539550924587,0.15718369166845486,0.17629782101382258,0.13349872170432317,0.1019304628761393,0.14867093248771168
17035.0,50.02270413493789,0.4932842045953772,0.34656904211648937,0.14671516247888783,0.175090536658857,0.16475643953902772,0.1549162691909835,0.1463551571336089
17040.0,50.13571905371889,0.49503620700385637,0.3525568768720778,0.14247933013177855,0.1737596556161609,0.12214550246287423,0.13526132894053117,0.14693146562343043
17045.0,49.836240439050414,0.5036812550967779,0.34736203598718757,0.1563192191095903,0.1730479019340742,0.23489504840165062,0.20326150071382068,0.15066718724763195
17050.0,50.06742213372858,0.49805197298825377,0.34395729367997735,0.15409467930827642,0.17227441062918403,0.15859283363789828,0.19031378495433626,0.16407985170794262
17055.0,50.51977011615432,0.4884756852909693,0.34905755551322304,0.13941812977774626,0.1709335279702623,0.0,0.029855444824817327,0.14972887001723342
17060.0,49.75807854758255,0.5031803604054323,0.34769900423655287,0.15548135616887948,0.17030291645020498,0.23962552679711224,0.147579381895969,0.13280304621748362
17065.0,49.63234574991719,0.5006179972956005,0.34546593289638555,0.15515206439921497,0.16968460195274496,0.3280378862017337,0.31622535251749284,0.155138509137871
17070.0,50.11106510067793,0.5049705810277385,0.3461435192319707,0.15882706179576783,0.16924149984447937,0.14971836087534782,0.21795452912750068,0.1772352496556537
17075.0,50.32075431810329,0.49908602666685764,0.3377776478590743,0.16130837880778331,0.16891774486815286,0.03416099917048376,0.05853110758178204,0.16352770317322043
17080.0,49.96146472302011,0.4957002737110305,0.3385106315534181,0.15718964215761239,0.16843911462945596,0.16438246977526216,0.11322568654707486,0.14376294544801593
17085.0,49.77855527828087,0.4971457955411876,0.3409085818675392,0.1562372136736484,0.16794114842714894,0.26167001459018224,0.24104571188373292,0.15515645459826505
17090.0,50.15463428950297,0.49475505661818775,0.3391097178804053,0.15564533873778247,0.16743934975844318,0.12140443482011981,0.17175869775660435,0.16902024508870478
17095.0,50.01496178995062,0.5001528828810364,0.3332099993698049,0.16694288351123154,0.16741908870136749,0.15283518954116412,0.13765965510735187,0.1616526502432739
17100.0,50.10170971174544,0.4973682034839435,0.3421100590095491,0.1552581444743944,0.1669227939653992,0.12535614792449923,0.13123052494551984,0.15671854383653386
17105.0,50.02494504304432,0.4981427522635057,0.34417938345372995,0.15396336880977574,0.16639391278924473,0.15154306426560563,0.14023418459321604,0.1512949293218198
17110.0,49.93131324707187,0.4942100822313061,0.3387109556789814,0.15549912655232467,0.16594929064823613,0.19399673617153804,0.183637848805182,0.15449767532259584
17115.0,49.75112147908523,0.5066575691320255,0.3355455271707201,0.17111204196130542,0.166159985332133,0.27234900681186885,0.2588983210770244,0.17044892006699722
17120.0,50.0457413542633,0.5025213041842677,0.3271985659641539,0.17532273822011374,0.16653392225186625,0.163493712657708,0.20566962722369783,0.18615418117763463
17125.0,50.11581944356739,0.4973623841969052,0.31839888088792045,0.17896350330898475,0.16704118020271322,0.11579439920069204,0.12395744255459443,0.17808253985653863
17130.0,49.65380472258744,0.49965906350082384,0.30895057035607754,0.1907084931447463,0.16800705609264552,0.29792502032876794,0.24385004816703154,0.1782204922227081
17135.0,49.96626003371697,0.49091173822371176,0.3048685802414932,0.18604315798221854,0.1687431192023939,0.20153090268510593,0.24350739570117136,0.19790802668673285
17140.0,50.09618045659139,0.49997235315414146,0.30686191721138206,0.1931104359427594,0.1697375626273618,0.13010429009930596,0.14776577520347844,0.19427933664511024
17145.0,49.88690911153301,0.5043853008515214,0.3104013506305958,0.19398395022092563,0.1707270708681974,0.2063200829623653,0.1780859513774635,0.18545395931137662
17150.0,49.98569030703252,0.4950034995040396,0.3097881960912724,0.1852153034127672,0.17131834350387037,0.1810007105997758,0.19055321122757626,0.18750212799421134
17155.0,49.83490926872551,0.5095668577734482,0.31472594058888936,0.19484091718455887,0.17227831250596956,0.23729262792416284,0.2221564829446443,0.1908748174495264
17160.0,50.1297328162711,0.5030430338570995,0.31745735756041316,0.18558567629668632,0.1728213932467149,0.12792314620820872,0.1620024149284952,0.1927270042775639
17165.0,49.84499564681711,0.5075486512134648,0.31174032808271224,0.19580832313075258,0.17375950233467666,0.22544567141468225,0.19139405857042802,0.18600311414154733
17170.0,49.77330698535424,0.5058900664572347,0.3075868070175834,0.19830325943965127,0.1747611463867121,0.2728180960711801,0.2673622873831197,0.1985662326337427
17175.0,50.223323375607144,0.4996675211249361,0.3089225749701227,0.1907449461548134,0.17541345393270713,0.09652999946132351,0.1509677056216832,0.20200124591841345
17180.0,50.04895329437401,0.5038392810332717,0.31219047064102207,0.19164881039224962,0.1760760276438477,0.13917726625446408,0.11258446015177115,0.1813715379138738
17185.0,49.66508595033836,0.5110858020360035,0.3174644571137002,0.19362134492230332,0.17679206156717386,0.30621313837819286,0.2590545147454432,0.18396911094420482
17190.0,49.91246240600704,0.5060303941892873,0.31065288974982774,0.19537750443945956,0.1775505435806589,0.23200561599971037,0.26856087117336047,0.20626277519381273
